package	version	repository	optional	size	sha256	url
ldns	1.8.4-1	main	false	302804	8bd23534a13f8743458bf4c0add9bb30addee5f3f088c0b00c525a404e4097a4	https://packages.termux.dev/apt/termux-main/pool/main/l/ldns/ldns_1.8.4-1_aarch64.deb
less	704	main	false	138696	350d5ec24969106b5fb43695944aed21e388571a7506d1716b1fa3d9d2110f3a	https://packages.termux.dev/apt/termux-main/pool/main/l/less/less_704_aarch64.deb
libacl	2.4.0	main	false	123540	cb620e33405e74b566cb05740dca488705cf0c475ec7f795fa333412211b6d92	https://packages.termux.dev/apt/termux-main/pool/main/liba/libacl/libacl_2.4.0_aarch64.deb
libandroid-execinfo	0.1-3	main	false	14964	725dd2c6da7fc96e860fcc928e18aa9fb0e85e0bdcaf4f8ce0f0654ca6860fc2	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-execinfo/libandroid-execinfo_0.1-3_aarch64.deb
libandroid-glob	0.6-3	main	false	7032	2276ae8adedf0db76c2f4ffc94cc4cceb2f4f5d78e021b54e2e046d1233e7826	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-glob/libandroid-glob_0.6-3_aarch64.deb
libandroid-posix-semaphore	0.1-4	main	false	4076	0efa8677a0166315ba4e685863712eba0ca0a1732827492f38226e2723730c7a	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-posix-semaphore/libandroid-posix-semaphore_0.1-4_aarch64.deb
libandroid-selinux	14.0.0.11-1	main	false	59624	00afd8c34087c2864737b51fd9d104dc5e955f6ec3c0f50c0c7ef5b4a56866b9	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-selinux/libandroid-selinux_14.0.0.11-1_aarch64.deb
libandroid-shmem	0.7	main	false	7216	0da3a24d558b93c92bcf8d611e0826a99ff96e396b148e6cdf33b47c47c57ff6	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-shmem/libandroid-shmem_0.7_aarch64.deb
libandroid-spawn	0.3	main	true	15216	7988fa788ef48ab5da9660443905a2e4099ac36221739d72f5c39acc644b4d1c	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-spawn/libandroid-spawn_0.3_aarch64.deb
libandroid-stub	29-2	main	false	23312	17eab0b8fc1c9271b3f7aa0658564086feb082fa88f13aa3a03608f1fb3bb538	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-stub/libandroid-stub_29-2_aarch64.deb
libandroid-support	29-1	main	false	10880	f2f145d6135ad4843ac9670153be3e3944dc1e6f1736d46d2306c28f2b86f517	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-support/libandroid-support_29-1_aarch64.deb
libandroid-sysv-semaphore	0.1-1	main	false	3568	c3369a92814690d56278d0455ae6df7bf2ad7678ae9543e86d1e3aa433937c69	https://packages.termux.dev/apt/termux-main/pool/main/liba/libandroid-sysv-semaphore/libandroid-sysv-semaphore_0.1-1_aarch64.deb
libao	1.2.2-8	main	false	34832	4256952da11bc49e68e872e8f72cf5ce8512a8d01343cd301dc0603a3bbf17f6	https://packages.termux.dev/apt/termux-main/pool/main/liba/libao/libao_1.2.2-8_aarch64.deb
libaom	3.14.1	main	false	2068784	305808ea5116933b0c6b851d1189bcca4c269cbd5c2aa9be7d80a2014023238e	https://packages.termux.dev/apt/termux-main/pool/main/liba/libaom/libaom_3.14.1_aarch64.deb
libarchive	3.8.9	main	false	394808	3c1d06ebcfdb6ed8b2053ef36cbe003f088e931bd022d520de80e65a50291fba	https://packages.termux.dev/apt/termux-main/pool/main/liba/libarchive/libarchive_3.8.9_aarch64.deb
libass	0.17.5	main	false	85252	4f94205285ea2062be4f60e695723a6f3350339ec89720943b0dce5ae30db01d	https://packages.termux.dev/apt/termux-main/pool/main/liba/libass/libass_0.17.5_aarch64.deb
libavif	1.4.2	main	false	385324	98d2b89c5547d07191c55c7a4efe4a0906c600953b62504056ebe96baafce52e	https://packages.termux.dev/apt/termux-main/pool/main/liba/libavif/libavif_1.4.2_aarch64.deb
libbluray	1.5.0	main	false	110484	8045df20cfb42de55c14990137391a0cb2f72fa709df672e86e0ebb6107fbf39	https://packages.termux.dev/apt/termux-main/pool/main/libb/libbluray/libbluray_1.5.0_aarch64.deb
libbs2b	3.1.0-2	main	false	13636	c71660d99e4baa064ba93f0ef750b6b2ea0d1d494a754cf1c67b550bb4baa91d	https://packages.termux.dev/apt/termux-main/pool/main/libb/libbs2b/libbs2b_3.1.0-2_aarch64.deb
libbsd	0.11.7-3	main	true	151152	7f4ab1b8ccd905eb10568aa747967cedd5049d6ad92e4d91e4c7cb4f53a1927b	https://packages.termux.dev/apt/termux-main/pool/main/libb/libbsd/libbsd_0.11.7-3_aarch64.deb
libbz2	1.0.8-8	main	false	26116	4335d7f060650b0aabef545d1334c2f9f280223d5962e13c24a00ec934b794ba	https://packages.termux.dev/apt/termux-main/pool/main/libb/libbz2/libbz2_1.0.8-8_aarch64.deb
libc++	29	main	false	334828	bb9f12113c137aa0e8513bb51cc49fe77a5ce3ca39ab9e92c57d228ecdf00222	https://packages.termux.dev/apt/termux-main/pool/main/libc/libc++/libc++_29_aarch64.deb
libcaca	0.99.beta20-3	main	false	249056	1b02d089bb2aa918dcf7ff19fe3b7c119b07c5e532922897eb88b3ef934e0eeb	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcaca/libcaca_0.99.beta20-3_aarch64.deb
libcairo	1.18.4-2	main	false	485284	ea7a4341c6c3186fec785e1395bda26b4d99cddb0f73cffcbe8c38a8bc2fa68f	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcairo/libcairo_1.18.4-2_aarch64.deb
libcap	2.69-1	main	true	74288	775df17dd5cb13459cb4849b36cdf66165578c623cd38af571601814d787e1b2	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcap/libcap_2.69-1_aarch64.deb
libcap-ng	2:0.9.3	main	false	38896	4b8085605029eb4a88eacb4850e28a4294bd0bef865dbe00271d98f99234d1e5	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcap-ng/libcap-ng_2%3A0.9.3_aarch64.deb
libcompiler-rt	21.1.8-3	main	false	3024604	89de02f642e34fa6494ad16105bd08510bd1dbdbe4fdb2b297aaa4f4e8e534b6	https://packages.termux.dev/apt/termux-main/pool/main/libc/libcompiler-rt/libcompiler-rt_21.1.8-3_aarch64.deb
